Occupancy description,scheme,label
Employee Housing - Cattail,ATC,4
Employee Housing - Eagle,ATC,4
Employee Housing - Gypsum,ATC,4
Employee Housing - Nighthawk,ATC,4
Employee Housing - Stillwater,ATC,4
Employee Housing - Stratton Flats,ATC,4
Employee Tools,ATC,23
Enclave SD 3 Guardhouse,ATC,23
Enclave SD3 Main/Exit Gates,ATC,23
Enclosed Barn,ATC,23
Enclosed Dumpster Structure,ATC,23
Engineering Studio - Contents Only,ATC,23
Entrance Bridge,ATC,23
Entrance Gate,ATC,23
Entrance Island & Waterfall,ATC,10
Entrance Monument,ATC,10
Entrance Monument - East,ATC,10
Entrance Monument - West,ATC,10
Entrance Monument and Landscaping,ATC,10
Entrance Monuments and Stone Piers (10),ATC,10
Entry Building,ATC,23
Entry Feature-Sign,ATC,23
Entry Moments,ATC,23
Entry Monument,ATC,10
Entry Monument (2),ATC,10
Entry Monument (Column),ATC,10
Entry Monument @ Hwy 7,ATC,10
Entry Monument and Retaining Wall (2),ATC,10
Entry Monument Sign,ATC,10
Entry Monument Signs (2),ATC,10
Entry Monument Signs (3),ATC,10
Entry Monument with Signage,ATC,10
Entry Monument/Stone Wall and Columns,ATC,10
Entry Monumentation,ATC,10
Entry Monuments,ATC,10
"Entry Monuments - 12 @ $18,637",ATC,10
Entry monuments (2),ATC,10
Entry Monuments 13,ATC,10
Entry Monuments along Bowles Ave,ATC,10
"Entry Park (Gazebo, Picnic Table)",ATC,10
Entry Sign,ATC,23
Entry Sign - NE corner,ATC,23
Entry Sign - NW corner,ATC,23
Entry Sign - SW corner,ATC,23
Entry Sign & Stone Piller - East side,ATC,23
Entry Sign & Stone Piller - West side,ATC,23
Entry Sign at East Entrance on Arapahoe,ATC,23
Entry Sign at West Entrance on Arapahoe,ATC,23
Entry Sign with 3 Ground Entry Lights,ATC,23
Entry Sign with Fountain,ATC,23
Entry signs,ATC,23
Entry Signs & Planters - East side,ATC,39
Entry Signs & Planters - West side,ATC,39
Entry signs (3) and Fence,ATC,39
Entry Wall,ATC,23
Entry Way Features,ATC,23
Entry Way Monuments,ATC,10
Entry Way Pavilion,ATC,23
"Entry Way Sign (Footers, Blockwork, Cabinet)",ATC,23
Entry/Primary Monument,ATC,10
Entryway,ATC,23
Entryway Enhancements,ATC,23
Entryway Signage #1,ATC,23
Entryway Signage #2,ATC,23
Entryway Signage #3,ATC,23
Entryway Signs,ATC,23
Env 1 PSPS,ATC,23
EPIR location (Break Dain Ice Resurfacer & misc. contents),ATC,23
EQ Basin,ATC,23
Equalization Basin (Water Reservoir Tank) includes: filter structure.  SI: fencing and lighting.,ATC,36
"Equalization-Centrifuge Building incl: (3) 60hp blowers, (2) equalization basins, (2) centrifuges, (2) 75hp pumps, controls, & piping.",ATC,31
Equestrian Bridge,ATC,23
"Equestrian Center #1 incl Site Improvements (Fencing, Bollards, Paving)",ATC,23
Equestrian Center #2 incl 4 Stables & Pavilion,ATC,23
Equestrian Jump Course & Judges Stand,ATC,23
"Equestrian Riding Arenas & Round Pen, Shade Structures, Table, & BBQ",ATC,23
Equilization Basins,ATC,23
Equilizer Quality Building #1,ATC,23
Equilizer Quality Building #2 (underground tank),ATC,31
Equipment Building,ATC,23
Equipment in Storage Container,ATC,6
Equipment Recertification Expense,ATC,23
Equipment Shed,ATC,6
Equipment Storage Building,ATC,6
Equipment Storage Shed,ATC,6
Equipment Storage Trailer,ATC,6
Equipment Storage/Maintenance Shop,ATC,6
Erie Community Library,ATC,10
Erie Flow Control Vault,ATC,23
Escalator and ADA Lift,ATC,23
Estes Valley Community Center including Land Improvements,ATC,10
Evans Park - 34201 - Gazebo 1,ATC,10
Evans Park - Cargo Container,ATC,10
Evans Park - Gazebo 2,ATC,10
"Evans Park - Pump, contolls Housing002-004",ATC,31
"Evans Park - Splashpad, Shed, and Landscaping",ATC,10
Evans Park Admin Bldg,ATC,10
Evans Park Maintenance Bldg,ATC,10
Evans Park Playground,ATC,10
Evaporation Ponds & Retractable Cover,ATC,31
Evergreen Lakes Restroom,ATC,10
Evergreen Shrubs,ATC,23
Evergreen Shrubs (591),ATC,23
Evergreen Trees,ATC,20
Evergreen/Deciduous Trees (437),ATC,20
EWWTP - ATAD Building,ATC,32
EWWTP - Primary Clarifier,ATC,32
EWWTP- Admin,ATC,32
EWWTP- Generator 500 Cummins,ATC,32
EWWTP- Generator 750 KW Kohler,ATC,32
EWWTP- Headworks Building,ATC,32
EWWTP- Odor Control Bldg. & Solids Processing,ATC,32
EWWTP- Secondary Clarifier Building,ATC,32
EWWTP-Fuel Tank for Generator 750KW Kohler,ATC,32
EWWTP-Generator Set -Cummins 800KW/Fuel Tank 2700 gal,ATC,32
Ex-Filtration Gallery,ATC,23
Exhibit D - Forbay Structure 18866.9,ATC,23
Exhibit D - Utility Storm Drains with Manhole,ATC,36
Exhibit D - Utility Waterlines,ATC,31
Exhibit D Utility Sewer Lines/Manholes and related,ATC,32
External Freezer Cooler,ATC,23
"F15 Pool, Bathhouse, Fixtures, Playground",ATC,10
Faces by Margot Gotoff,ATC,23
Facilities Inventory - Tract E,ATC,23
"Facilities Inventory - Tract E Flagpole,",ATC,23
Fairgrounds Shade Structure,ATC,23
Fairmount Fitness System - 7 Stations,ATC,23
Fairmount Play Structure,ATC,10
Fairmount Restroom,ATC,10
Fairmount Shelters (3),ATC,23
Fairview Pump Plant,ATC,31
Fairview Reservoir #2,ATC,36
Fairview Reservoir 1 Aeration System,ATC,36
Fairway View Lift Station,ATC,31
"Fairway Villa Park -Landscaping, Irrigation, Shed, Tables & Trellis",ATC,10
Fairway Villas - SD 1 - Clubhouse,ATC,10
Fairway Villas Monument,ATC,10
Fairway Villas SD 1 Pool and Spa,ATC,10
"Fairway Villas SD1: Clubhouse Parking Lot, Lights and Landscaping",ATC,11
Fairways at Lone Tree-Shelter/Playground,ATC,10
Fairways Heights Park & Playground Equip & Ammenities,ATC,10
Falcon Highlands Lift Station,ATC,31
Falcon Lift Station - WHMD Portion- includes 2 lg pumps 30' underground,ATC,31
Falcon Park - Playground,ATC,10
Falcon Park - Restroom,ATC,10
Falcon Park - Shelter,ATC,10
Falcon Town Center Signs,ATC,23
Fallen Tree,ATC,23
Fallen Tree Water Tank,ATC,31
Family Medicine Center,ATC,23
Family Sports Center,ATC,23
Farm Mail Kiosk,ATC,23
Farm Park Shelter,ATC,10
Farmer's Corner Wastewater Treatment Plant,ATC,32
Farr Regional Library,ATC,10
Fence,ATC,39
Fence - 6 Foot Privacy,ATC,39
Fence - Concrete,ATC,39
Fence - Gates (1),ATC,39
Fence - Iron (990 Linear Feet),ATC,39
Fence - Posts & Uprights (1),ATC,39
Fence - Split Rail,ATC,39
Fence - Steel Decorative - 810 LF,ATC,39
Fence - Wood,ATC,39
Fence - Wood (300 Linear Feet),ATC,39
Fence & Corral,ATC,39
Fence (5718 LF),ATC,39
Fence (Wrought iron) Subdivision,ATC,39
Fence around future Well site-840 Linear ft.,ATC,31
Fence around level spreader,ATC,39
Fence Around Pool - 250 ft.,ATC,10
Fence Around Sewer Pond-2000 Linear Ft,ATC,32
"Fence around Tennis Court, RV Lot and Garden",ATC,10
Fence at Well Site,ATC,31
Fence Column,ATC,39
Fence Columns,ATC,39
Fence Columns (80),ATC,39
Fence End Columns (Monuments),ATC,10
Fence for Detention Pond,ATC,39
Fence front of Maintenance Bldg,ATC,39
Fence Metal and Brick 35 foot Dalzell,ATC,39
Fence Office & Tanks,ATC,8
Fence throughout district,ATC,39
"Fence, Monuments, and Retaining Walls",ATC,10
"Fence, Open Rail (2,062 ln. ft.)",ATC,39
"Fence, Privacy (6') (5,091 ln. ft.)",ATC,39
Fence/Brickwall (8 Feet),ATC,39
Fenced Childcare Playground,ATC,10
Fences,ATC,39
Fences and Arbors,ATC,39
Fencing,ATC,23
Fencing - 250 LF,ATC,23
Fencing - 350 Linear Feet,ATC,23
"Fencing - 6,802 lf",ATC,23
Fencing - 857 LF; Chain Link 540 LF & Field Fence 317 LF,ATC,39
"Fencing - 9,800 LF",ATC,23
Fencing - Area C-3,ATC,23
Fencing - Area E-2,ATC,23
Fencing - PVC split rail w/ stone pillar,ATC,23
Fencing - Three Rail,ATC,23
"Fencing 	",ATC,23
Fencing & Gates,ATC,23
"Fencing (10,622 linear feet)",ATC,23
"Fencing (2,180 LF)",ATC,23
Fencing (2500 feet),ATC,23
Fencing (Wood & Rod Iron),ATC,23
Fencing + Columns,ATC,23
Fencing and Lighting for Ball Fields Paintbrush Park,ATC,10
Fencing and Monument Signs,ATC,10
Fencing Around Pool,ATC,10
Fencing at Inspiration Club,ATC,23
Fencing Maintenance Yard & Parking Lot,ATC,11
"Fencing, Lighting, Signs",ATC,23
"Fencing, Lighting. Misc. Amenities",ATC,23
Fencing/gates,ATC,23
Fencing/Gating,ATC,23
Fencing-Radial Gates - Granby Dam,ATC,23
Ferric Chloride Storage Tank,ATC,6
Festoon Lighting-690 total,ATC,23
FH Assembly,ATC,23
Fiber Optic Cable,ATC,23
Fiber Optic Conduit & 9 Man Holes,ATC,23
Fiberglass Pump House/Chlorine Bldg.,ATC,15
Field Office (Collection & Distribution),ATC,8
Field Station,ATC,23
Field Station Headquarters Great Cut - East Shed/Storage,ATC,6
Field Station Headquarters Great Cut - Large Garage/Shop,ATC,6
Field Station Headquarters Great Cut - Office/Shop,ATC,8
Field Station Headquarters Great Cut - Pole Barn,ATC,8
Field Station Headquarters Great Cut - Small Garage,ATC,8
Field Station Headquarters Great Cut - West Shed/Storage,ATC,6
Field Well,ATC,31
Fieldhouse,ATC,23
"Fieldhouse - incls: rock walls, soccer fields bleachers, scoreboards, offices & overhangs. SI: volleyball nets, bleachers, railings, bicycle rack, lighting, paving & soccer goals.",ATC,8
Fifteen (15) Light Poles values at $4000 each,ATC,23
Fifteen (15) Lights valued at $4000 each,ATC,23
Filing 1 Road and Filing 3 Road - Paved Roads,ATC,23
"Filing 13, Tract A: Irrigation System",ATC,32
"Filing 16 Park - windsail, benches, table",ATC,10
"Filing 2, Tract A, the corner of S Lupine St and S Lupine Ct",ATC,23
"Filing 2, Tract A: Irrigation System, Sidewalk, 2 Benches, Observation Deck, 1 Mail Kiosk",ATC,10
"Filing 2, Tract C: Irrigation System, 4 Mailbox Kiosks",ATC,32
"Filing 2, Tract E: Irrigation System, Sidewalks",ATC,32
"Filing 2, Tract S: Cobble Median",ATC,23
"Filing 2, Tract T: Cobble Median",ATC,23
Filing 25: Block Retaining Wall - 146 LF,ATC,23
"Filing 3, Tract A: Irrigation System, Sidewalks",ATC,32
"Filing 3, Tract B: Irrigation System, 2 Mailbox Kiosks",ATC,32
"Filing 3, Tract C: Irrigation System",ATC,32
"Filing 5, Partial Tract C: Irrigation System",ATC,32
"Filing 5, Tract B: Irrigation System, Sidewalks, Vistas Monument Sign, Annual Flowers, 1 Mailbox Kiosk",ATC,10
"Filing 5, Tract D: Irrigation System, Sidewalks, 1 Bench, Observation Deck",ATC,32
"Filing 5, Tract E: 2 Irrigation Systems",ATC,32
Filing 7 - Concrete Fence,ATC,39
Filing 7 - Irrigation Controller,ATC,32
"Filing 8, Tract A: Irrigation System, Landscape Walls, Inspiration Lane Median Landscape",ATC,32
"Filing 8, Tract B: Irrigation System, 4 Mailbox Kiosks",ATC,32
"Filing 8, Tract C: Irrigation System, Landscape Walls, Sidewalks",ATC,32
"Filing 8, Tract D: Irrigation System, Landscape Walls, Hilltop Monument Sign, Annual Flowers",ATC,10
"Filing 8, Tract E: Irrigation System, Landscape Walls, 5 Mailbox Kiosks",ATC,32
"Filing 8, Tract F: Irrigation System, Landscape Walls, 1 Mailbox Kiosk, Inspiration Main Monument, Annual Flowers",ATC,10
Filing 9 - Irrigation Controller,ATC,32
Filing 9 - Rock Wall,ATC,23
"Filings 18, 19, 22, 23, 25 & 26: Grasses, Trees & Shrubs",ATC,20
"Filings 18, 19, 22, 23, 25 & 26: Irrigation",ATC,32
"Filings 18, 19, 22, 23, 25, & 26: Steel Edging",ATC,23
Fill Station,ATC,23
Fillmore Plaza - Fillmore Lighting System,ATC,23
Fillmore Plaza - ShowPower Electrical System (incl 2 cabinets),ATC,30
Fillmore Plaza - Underground Water Quality Vault,ATC,31
Fillmore Plaza -3 Electrical Transformers (next to irrigation controls),ATC,30
Fillmore Plaza Light Blades (14),ATC,23
Fillmore Plaza Shade Structure,ATC,23
Filng 54 Pool house,ATC,10
"Filter / Aeration Building incl: (2) aeration basins, controls, piping, & storage.",ATC,6
Filter Building,ATC,23
"Filter Building - Office incl: (2) filters, & controls",ATC,8
"Filter Building, Access Stairs, Foundation, Concrete Apron, Elec., & Piping",ATC,23
Filter Lift Station,ATC,31
Filter Plant #1 / Well Site #1,ATC,31
Filter Plant #2 / Well site #2 - 2 wells; pumps morors & Equip,ATC,31
"Filter Plant #3, incl pumps",ATC,31
Filter Plant & Pump Station Standby Generator: 200kw Generator,ATC,31
"Filter Plant (includes Flocculation/Sedimentation Addition, Filter Eff. Vault & Filters 13-20) - EDP incl. SCADA Control System.",ATC,39
Filter Plant House:  Filter Plant House (Dwelling),ATC,31
"Filter/Pump House SCADA, Generator,Toro Controls,laptops&equip",ATC,31
Filter/Pump House:  Water Well D-3,ATC,31
Filters Operations Building,ATC,23
Filtration Plant & Equipment,ATC,39
Filtration Plant 1,ATC,39
Filtration Plant 2,ATC,39
Filtration Plant Office Lab,ATC,8
Fine Screening Building,ATC,23
Finished Shed,ATC,6
Fire Academy,ATC,24
"Fire Academy (incld pond liner, pump station, pipes, heating, aeraton system, gates and fences",ATC,24
Fire Alarm System at East Parking Structure,ATC,24
Fire Behavior Prop,ATC,24
Fire Department- Training Bldg,ATC,24
Fire Feature @ Arista Place Park,ATC,10
Fire House,ATC,24
Fire House #1,ATC,24
Fire House #2,ATC,24
Fire House Includes: offices and storage.,ATC,24
Fire Hydrant,ATC,24
Fire Hydrant (1 of 15),ATC,24
Fire Hydrant (10 of 15),ATC,24
Fire Hydrant (11 of 15),ATC,24
Fire Hydrant (12 of 15),ATC,24
Fire Hydrant (13 of 15),ATC,24
Fire Hydrant (14 of 15),ATC,24
Fire Hydrant (15 of 15),ATC,24
Fire Hydrant (2 of 15),ATC,24
Fire Hydrant (3 of 15),ATC,24
Fire Hydrant (4 of 15),ATC,24
Fire Hydrant (5 of 15),ATC,24
Fire Hydrant (6 of 15),ATC,24
Fire Hydrant (7 of 15),ATC,24
Fire Hydrant (8 of 15),ATC,24
Fire Hydrant (9 of 15),ATC,24
Fire Hydrants,ATC,24
Fire Hydrants - 29,ATC,24
Fire Hydrants (17),ATC,24
"Fire Pump Station includes: (2) 125hp, (2) 75hp, and (1)hp pumps, controls, and piping.",ATC,24
Fire Statioin #11 - Storage Shed 2,ATC,24
Fire Station,ATC,24
Fire Station  #5,ATC,24
Fire Station  #5 including site improvements,ATC,24
Fire Station  #6,ATC,24
Fire Station # 1,ATC,24
Fire Station # 10,ATC,24
Fire Station # 11,ATC,24
Fire Station # 12,ATC,24
Fire Station # 14,ATC,24
Fire Station # 2,ATC,24
Fire Station # 3,ATC,24
Fire Station # 4,ATC,24
Fire Station # 5,ATC,24
Fire Station # 6,ATC,24
Fire Station # 7,ATC,24
Fire Station # 8,ATC,24
Fire Station # 9,ATC,24
Fire Station #1,ATC,24
Fire Station #1 - Garage/Shop,ATC,24
Fire Station #1  including site improvements,ATC,24
Fire Station #1 - Truck Bay/Offices,ATC,24
Fire Station #1 (Storage),ATC,24
Fire Station #1 Garage with Improvements,ATC,24
Fire Station #1 including Improvements,ATC,24
Fire Station #1 with Improvements,ATC,24
Fire Station #10,ATC,24
Fire Station #10  including site improvements,ATC,24
Fire Station #11 -  Storage Shed,ATC,24
Fire Station #11  including site improvements,ATC,24
Fire Station #12  including site improvements,ATC,24
Fire Station #12 Natural Gas Generator,ATC,24
Fire Station #12 Storage Shed,ATC,24
Fire Station #13  including site improvements,ATC,24
Fire Station #14  including site improvements,ATC,24
Fire Station #14 Storage Shed,ATC,24
Fire Station #15 incl site improvements; generator; 1K Above Ground Storage Tank,ATC,24
Fire Station #16 incl site improvements; generator,ATC,24
Fire Station #17 - Storage Shed,ATC,24
Fire Station #17 incl site improvements; generator,ATC,24
Fire Station #2,ATC,24
Fire Station #2 - Communications Bldg,ATC,24
Fire Station #2  including site improvements; generator,ATC,24
Fire Station #2 - Storage Shed,ATC,24
Fire Station #2 including Improvements,ATC,24
Fire Station #2-Autumn Creek,ATC,24
Fire Station #3,ATC,24
Fire Station #3  including site improvements,ATC,24
Fire Station #3 including Improvements,ATC,24
Fire Station #4,ATC,24
Fire Station #4 - Airport,ATC,24
Fire Station #4  including site improvements,ATC,24
Fire Station #5,ATC,24
Fire Station #5 - Storage Shed,ATC,24
Fire Station #6 - Storage Shed,ATC,24
Fire Station #6 including site improvements; generator,ATC,24
Fire Station #61,ATC,24
Fire Station #62,ATC,24
Fire Station #63,ATC,24
Fire Station #64,ATC,24
Fire Station #65 (Jeffco Airport):  Fire Station #65,ATC,24
Fire Station #66,ATC,24
Fire Station #67,ATC,24
Fire Station #7,ATC,24
Fire Station #7  including site improvements,ATC,24
Fire Station #7 - Storage Shed,ATC,24
Fire Station #8,ATC,24
Fire Station #8 - Communications Bldg,ATC,24
Fire Station #8  including site improvements,ATC,24
Fire Station #8 - Storage Bldg #1,ATC,24
Fire Station #8 - Storage Bldg #2,ATC,24
Fire Station #9,ATC,24
Fire Station #9  including site improvements,ATC,24
Fire Station #9 - Storage Shed,ATC,24
Fire Station & Garage 2 incl site improvements,ATC,24
Fire Station 1,ATC,24
"Fire Station 1 - Includes: apparatus bays, (6) bunk rooms, fitness room, day room, kitchen, decon room, & offices.",ATC,24
Fire Station 1 and Admin Office,ATC,24
Fire Station 1 incl site improvements,ATC,24
"Fire Station 1 incl Site Improvements (Bollards, Flagpole, Fencing, Paving & Lighting)",ATC,24
Fire Station 2,ATC,24
"Fire Station 2 incl Site Improvements (Fencing, Lighting, Paving, Signage & Flagpole)",ATC,24
"Fire Station 2 incl: apparatus bays, (8) bunk rooms, kitchen, day room, & offices.  SI: paving, flagpole, lighting and bollards.",ATC,24
Fire Station 3,ATC,24
"Fire Station 3 (new) incl: apparatus bay, (3) bunk rooms, fitness room, kitchen, day room, & offices.  SI: paving, flagpole, lighting, bollards and retaining wall.",ATC,24
"Fire Station 3 incl Site Improvements (Fencing, Flagpole, Signage, Paving & Lighting)",ATC,24
Fire Station 4,ATC,24
Fire Station 4 incl site improvements,ATC,24
"Fire Station 4 incl: apparatus bays, (8) bunk rooms, fitness room, kitchen, day room, decon room, work shop, & offices.  SI: paving, flagpole, fencing.",ATC,24
Fire Station 5,ATC,24
"Fire Station 5 incl: apparatus bays, (7) bunk rooms, day room, kitchen, fitness room, & offices.  SI: paving, flagpole, signage, lighting & bollards.",ATC,24
"Fire Station 6 incl: apparatus bays, ambulance bay, (13) bunk rooms, kitchen, day room, fitness room, laundry room, day room, & offices.  SI: paving, flagpole and bollards",ATC,24
"Fire Station 7 incl: apparatus bays, (8) bunk rooms, fitness room, kitchen, day room, & offices. SI: paving, flagpole, bollards, lighting & retaining wall.",ATC,24
"Fire Station 8 incl: apparatus bays, (8) bunk rooms, day room, kitchen, & offices.  SI: paving, flagpole & lighting.",ATC,24
"Fire Station 9 incl: apparatus bays, bunk rooms, day room, kitchen, offices. SI: paving, flag pole, & lighting.",ATC,24
Fire Station No. 1 - King Meadows,ATC,24
Fire Station No. 2,ATC,24
Fire Station No. 3,ATC,24
Fire Station No. 4-Main Station,ATC,24
Fire Station No. 5-Canyon Springs,ATC,24
"Fire Station w/ 2 Bays, 2 Residential Units, and Improvements.  SI: paving & tennis courts",ATC,24
"Fire Station, railing, flagpole,cinder storage",ATC,24
Fire Station/Office,ATC,24
Fire Storage Tank,ATC,24
Fire Suppression System - UG Cistern,ATC,24
Fire Training - Burn Building,ATC,24
Fire Training Building,ATC,24
Fire Training Center Command Center,ATC,24
Fire Training Center:  Fire Station #68,ATC,24
Fire Training Center:  Storage Building,ATC,24
Fire Training Center:  Training Classroom,ATC,24
Fire Training Center:  Vehicle Maintenance,ATC,7
Fire Training Facility,ATC,24
Fire Training Garage,ATC,24
Firefighter Quarters/Dwelling,ATC,24
Fireplace structure,ATC,10
Firewood/storage shed - ML,ATC,6
First Stage Aeration Basin,ATC,23
Fish Cleaning Station,ATC,20
"Fish Creek Filter Plant - Fish Creek Tank - 2M gallon capacity; concrete in-ground tank, includes: chlorine analyzer, flowmeter, & chemical feeder.",ATC,15
"Fish Creek Filter Plant - Incl.  7.5mgd capacity; includes: pumps, filters, controls, clearwell, scada, fiberglass tanks, interior standby generator, valves, & piping. Roof Condition: Good. SI: fencing & fuel tank",ATC,31
"Fish Creek Filter Plant - Skyline Pump Station - incl.(2) 125hp pumps, controls, scada, valves, & piping.",ATC,31
"Fish Creek Filter Plant - Skyline Tank - 250,000 gallon capacity; in-ground concrete tank; incl: scada.",ATC,31
Fish Creek Lift Station including Generator,ATC,20
Fish Pond,ATC,20
Fishing Pier,ATC,20
Fishing Pond Equipment & Storage,ATC,6
Fishing Screen,ATC,20
Fit and Fun Park - Benches (2),ATC,10
Fit and Fun Park - Pergola (1),ATC,10
FIT Building,ATC,23
FIT by Hyland Hills (Fitness Center),ATC,23
Fit Tower Training,ATC,23
Fitness Center,ATC,23
Fitness Equipment at Recreation Center,ATC,10
Fitness Station Equipment,ATC,23
Fitzmorris Recreation Center - Swimming Pool (Outside),ATC,10
"Fitzmorris Recreation Center incl: fitness center, classroom, pool mechanical room & offices.  SI incl: flagpole, signage, lighting, fencing & paving.",ATC,8
Five (5) Shelters,ATC,23
Five (5) Trailhead Mini Maps - $500 each,ATC,6
Five Landscaped Median Sections--Timberline: 1 of 5,ATC,20
Five Landscaped Median Sections--Timberline: 2 of 5,ATC,20
Five Landscaped Median Sections--Timberline: 3 of 5,ATC,20
Five Landscaped Median Sections--Timberline: 4 of 5,ATC,20
Five Landscaped Median Sections--Timberline: 5 of 5,ATC,20
Five Points Playground and Gazebo,ATC,10
Fixed Equipment - Adams Tunnel,ATC,23
Fixed Removable Pool  ADA Lift,ATC,10
Flag Pole and (3) Cisterns/Shed,ATC,6
Flag Poles and Flags,ATC,23
Flag Poles within boundaries,ATC,23
Flagpole and Two Flags,ATC,23
Flagstone Median,ATC,23
Flame Retardant PVC Fabric and Galvanized Steel Tent,ATC,23
Fleet Building,ATC,23
Floating Dock,ATC,23
Floating Dock at Clear Creek Valley Park,ATC,10
Floating Pump,ATC,31
Flocculation / Sedimentation Building,ATC,23
Flocculation/Sedimentation,ATC,23
Flow Equalization Barrier Cover,ATC,23
Flow Monitor Bldg (Cell #1),ATC,23
"Flowergate Park - Park bench, trash receptacle, playground equipment",ATC,10
Flowers - 300 Hanging Baskets,ATC,23
Flume - OCM #1,ATC,23
Flume - OCM #2,ATC,23
Flume - OCM #3,ATC,23
Flush Toilet Bathroom/Pathfinder Park,ATC,10
Fontaine Water Treatment Plant - Ion Exchnage Treatment Facility & Air Stripper Facility:,ATC,32
Foot  Bridge #6,ATC,23
Football Building #3,ATC,10
Footbridge,ATC,23
Foothills - Playground,ATC,10
Foothills - Restrooms,ATC,10
Foothills - Shelter,ATC,23
Foothills Golf Course Starting Building,ATC,10
Foothills Golf Course/Picnic Shelter,ATC,10
Foothills Golf Course:  Clubhouse & Restaurant,ATC,10
Foothills Golf Course:  Maintenance Building #1,ATC,10
Foothills Golf Course:  Maintenance Building #2,ATC,10
Foothills Golf Course:  Pump House #1,ATC,10
Foothills Golf Course:  Pump House #2,ATC,10
Foothills Sports Arena @ Schaefer Athletic Complex,ATC,23
Ford Well #1 (not active),ATC,31
Ford Well #2,ATC,31
Forebay,ATC,23
Forest Hills Lift Station Generator & Pump in Vault,ATC,31
Forest Lift Station with Improvements,ATC,31
Fossil Ridge Solerra 42 Inch CMP,ATC,23
Fossil Ridge Solerra 42 Inch CMP - 42 Line,ATC,23
Foundry Cinema & Bowl incl Site Improvements (lighting & paving),ATC,23
Fountain,ATC,23
Fountain Library Branch,ATC,10
Fountain Lights,ATC,23
Fountain with Power Meter,ATC,23
Fountain/EQ/Lights,ATC,23
Fountains and Monument Sign,ATC,10
"Four (14"" X 47"") Vessels with 15 uranium resin filters",ATC,23
Four (4) Shelters (16/20 Barrel) at $35000 each,ATC,23
Four (4) Trail Bridges at $25000 each,ATC,23
Four 6 x 20 Baseball Dugouts ($3000 each),ATC,10
Four Gates Sculpture at Alameda Station Transit Plaza,ATC,10
Four landscaped median sections. 1 of 4,ATC,20
Four Landscaped Median Sections. 2 of 4,ATC,20
Four Landscaped Median Sections. 3 of 4,ATC,20
Four Landscaped Median Sections. 4 of 4,ATC,20
"Four Lights at Clubhouse parking lot $12,500 each",ATC,11
Four parking lot lights at Tennis Court  $12500 each,ATC,11
Four Security Cameras - West Parking Lot,ATC,11
Four Wide Modular Trailer,ATC,8
Fournier Press Building,ATC,23
Fox Creek Elementary -Restroom,ATC,10
Fox Hill Park Bridge 1-1,ATC,10
Foxes Art,ATC,10
Foxhill Park,ATC,10
Foxridge Booster Vault,ATC,23
Foxridge Park,ATC,10
Frame Storage Shed,ATC,6
Frame w/ Filters,ATC,23
Frank Rd Storage Tank #1,ATC,6
Frank Rd. Utility Bldg,ATC,23
Fraser Elementary School,ATC,25
Fredricksburg Park Playground,ATC,10
Freedom Park Safety Netting,ATC,10
Friends of Library Shed,ATC,10
Frogs Leap Park,ATC,10
FSC Driving Range,ATC,23
FSC Irrigation Pump Station,ATC,31
FSC KIOSK 1,ATC,23
FSC KIOSK 2,ATC,23
FSC Maintenance Building,ATC,23
FSC Mini Golf,ATC,10
FSC Soccer Dome,ATC,23
Ft. Lupton Flow Control Vault,ATC,23
Ft. Lupton Flow Meter Vault,ATC,23
Ft. Morgan PRV Vault,ATC,23
Fuel Storage,ATC,19
Fuel Tank,ATC,19
Fuel Tanks,ATC,19
Full Court Basketball Court,ATC,10
Full-Court Basketball Court - Wright Farms Park,ATC,10
Funhouse filter building,ATC,23
Future Park - 13095 W. 52nd Ave.,ATC,10
FVSC Irrigation System,ATC,32
Gallery Booster Pumps Turbine,ATC,23
Gallery Site,ATC,23
"Gallery Well SA-1, SA-3, 5-1, 5-2",ATC,31
Gallup Irrig. Shop,ATC,6
Gallup Park - Shelter/Playground,ATC,10
Gang Mailbox,ATC,23
Garage,ATC,23
Garage - Fascade,ATC,23
Garage - Maintenance Building,ATC,23
Garage - Shop,ATC,6
Garage - Shop Building,ATC,6
Garage - Shop/Equipment incl. Solar Panels,ATC,6
Garage #1,ATC,23
Garage #2,ATC,23
Garage (13.5' x 24.5'),ATC,23
Garage (Girls) 880,ATC,23
Garage / AWT Tank,ATC,31
Garage 1 Unit P1 includes Unit 1B Property,ATC,23
Garage 1-576 sq ft,ATC,23
Garage 2 Unit P2,ATC,23
Garage 2-600 sq ft,ATC,23
Garage 6 incl site improvements,ATC,23
Garage at District Water and San Office,ATC,8
Garage at Medano House,ATC,23
Garage Building,ATC,23
Garage Includes: vehicle and equipment storage,ATC,7
"Garage, Shop",ATC,6
Garage/Maintenance Building,ATC,23
Garage/Pump Room,ATC,23
Garage/Shop/Offices,ATC,8
Garage-Warehouse,ATC,6
Garden Vegetation (no Trees),ATC,20
Gas Pump & Storage Tank,ATC,6
Gas Pumps/Tank,ATC,19
Gas Station - pump/storage tanks,ATC,6
Gas Tank,ATC,19
Gate at Eastwood,ATC,23
Gate Enclosures -3 total 10' Dalzell,ATC,23
Gate House,ATC,23
Gate House & Bathtub - Willow Creek,ATC,23
Gate House/Elevator - Granby Dam,ATC,23
Gate System,ATC,23
"Gate with 2 17"" Arms",ATC,23
Gatehouse,ATC,23
Gateview - Television Translator & Bldg,ATC,23
Gateway Ped. Bridge with rails,ATC,23
